congress,chamber,rollnumber,icpsr,cast_code,prob
116,Senate,6,14858,1,99.5
116,Senate,6,14871,1,99.3
116,Senate,6,14921,6,74.0
116,Senate,6,15015,1,97.7
116,Senate,6,15021,1,99.5
116,Senate,6,15408,1,99.3
116,Senate,6,15424,6,86.5
116,Senate,6,20101,1,16.7
116,Senate,6,20146,6,57.3
116,Senate,6,20330,1,99.6
116,Senate,6,20351,6,90.8
116,Senate,6,20707,1,99.0
116,Senate,6,20713,1,99.8
116,Senate,6,20735,1,99.7
116,Senate,6,20919,6,75.2
116,Senate,6,20923,1,98.8
116,Senate,6,20930,1,99.3
116,Senate,6,21112,1,22.4
116,Senate,6,21133,6,80.6
116,Senate,6,21166,6,90.6
116,Senate,6,21173,6,88.7
116,Senate,6,21300,1,93.7
116,Senate,6,21301,1,11.0
116,Senate,6,21325,1,99.2
116,Senate,6,21338,1,18.1
116,Senate,6,21350,6,84.1
116,Senate,6,21501,1,31.8
116,Senate,6,21743,1,98.1
116,Senate,6,29142,1,99.5
116,Senate,6,29147,9,99.7
116,Senate,6,29345,6,91.0
116,Senate,6,29373,1,99.5
116,Senate,6,29386,6,60.0
116,Senate,6,29389,1,99.7
116,Senate,6,29534,6,85.0
116,Senate,6,29548,6,76.4
116,Senate,6,29566,6,67.1
116,Senate,6,29722,1,16.9
116,Senate,6,29732,1,99.3
116,Senate,6,29735,6,86.5
116,Senate,6,29754,6,80.1
116,Senate,6,29909,6,73.5
116,Senate,6,29924,1,99.6
116,Senate,6,29935,6,80.3
116,Senate,6,29940,1,99.8
116,Senate,6,39310,1,99.2
116,Senate,6,40300,6,34.1
116,Senate,6,40304,6,56.0
116,Senate,6,40305,6,81.9
116,Senate,6,40700,1,99.1
116,Senate,6,40702,1,97.6
116,Senate,6,40703,1,98.9
116,Senate,6,40704,1,99.5
116,Senate,6,40707,6,90.9
116,Senate,6,40902,6,97.2
116,Senate,6,40906,1,98.7
116,Senate,6,40908,1,99.4
116,Senate,6,40909,1,97.8
116,Senate,6,40910,1,98.4
116,Senate,6,40915,1,81.2
116,Senate,6,40916,1,98.5
116,Senate,6,41101,1,99.7
116,Senate,6,41102,1,22.6
116,Senate,6,41104,6,80.0
116,Senate,6,41107,6,81.0
116,Senate,6,41110,6,81.9
116,Senate,6,41111,6,78.4
116,Senate,6,41112,1,99.7
116,Senate,6,41300,1,97.3
116,Senate,6,41301,1,99.7
116,Senate,6,41302,6,90.4
116,Senate,6,41304,6,84.1
116,Senate,6,41305,1,98.5
116,Senate,6,41308,1,99.8
116,Senate,6,41500,6,84.3
116,Senate,6,41501,6,83.3
116,Senate,6,41502,6,84.0
116,Senate,6,41503,1,14.6
116,Senate,6,41504,6,79.4
116,Senate,6,41505,6,76.3
116,Senate,6,41700,1,99.2
116,Senate,6,41701,1,99.8
116,Senate,6,41702,1,98.6
116,Senate,6,41703,1,8.0
116,Senate,6,41705,1,91.0
116,Senate,6,41706,1,99.6
116,Senate,6,41707,6,80.3
116,Senate,6,41900,6,97.6
116,Senate,6,41901,1,23.7
116,Senate,6,41902,6,93.0
116,Senate,6,41903,6,86.5
116,Senate,6,49300,1,99.0
116,Senate,6,49308,1,99.5
116,Senate,6,49703,1,83.8
116,Senate,6,49706,6,89.9
116,Senate,6,94659,6,92.5
116,Senate,7,14226,1,95.9
116,Senate,7,14307,6,99.7
116,Senate,7,14435,6,100.0
116,Senate,7,14852,1,98.1
116,Senate,7,14858,6,100.0
116,Senate,7,14871,6,100.0
116,Senate,7,14921,1,99.2
116,Senate,7,15015,6,99.3
116,Senate,7,15021,6,100.0
116,Senate,7,15408,6,99.9
116,Senate,7,15424,1,100.0
116,Senate,7,20101,1,100.0
116,Senate,7,20146,1,95.7
116,Senate,7,20330,6,99.9
116,Senate,7,20351,1,100.0
116,Senate,7,20707,6,99.7
116,Senate,7,20713,6,99.8
116,Senate,7,20735,6,100.0
116,Senate,7,20919,1,99.0
116,Senate,7,20923,6,99.6
116,Senate,7,20930,6,98.6
116,Senate,7,21112,1,99.6
116,Senate,7,21133,1,99.8
116,Senate,7,21166,1,100.0
116,Senate,7,21173,1,100.0
116,Senate,7,21300,6,80.3
116,Senate,7,21301,1,100.0
116,Senate,7,21325,6,96.2
116,Senate,7,21338,1,99.8
116,Senate,7,21350,1,100.0
116,Senate,7,21501,1,98.4
116,Senate,7,21743,6,82.3
116,Senate,7,29142,6,99.9
116,Senate,7,29147,6,100.0
116,Senate,7,29345,9,100.0
116,Senate,7,29373,6,99.6
116,Senate,7,29386,1,87.3
116,Senate,7,29389,6,99.8
116,Senate,7,29534,1,100.0
116,Senate,7,29548,9,99.3
116,Senate,7,29566,9,95.4
116,Senate,7,29722,1,100.0
116,Senate,7,29732,6,98.7
116,Senate,7,29735,1,100.0
116,Senate,7,29754,1,99.9
116,Senate,7,29909,1,99.1
116,Senate,7,29924,6,97.2
116,Senate,7,29935,1,99.3
116,Senate,7,29940,6,99.9
116,Senate,7,39310,6,100.0
116,Senate,7,40300,6,59.3
116,Senate,7,40304,9,86.3
116,Senate,7,40305,1,99.8
116,Senate,7,40700,6,99.9
116,Senate,7,40702,6,87.3
116,Senate,7,40703,1,7.8
116,Senate,7,40704,6,99.7
116,Senate,7,40707,1,100.0
116,Senate,7,40902,1,100.0
116,Senate,7,40906,6,99.4
116,Senate,7,40908,6,100.0
116,Senate,7,40909,6,96.4
116,Senate,7,40910,6,99.0
116,Senate,7,40915,1,84.5
116,Senate,7,40916,6,99.6
116,Senate,7,41101,6,99.6
116,Senate,7,41102,1,98.6
116,Senate,7,41104,9,99.4
116,Senate,7,41107,1,100.0
116,Senate,7,41110,1,99.7
116,Senate,7,41111,1,98.8
116,Senate,7,41112,6,99.7
116,Senate,7,41300,6,99.1
116,Senate,7,41301,6,99.9
116,Senate,7,41302,1,100.0
116,Senate,7,41304,1,99.9
116,Senate,7,41305,6,98.4
116,Senate,7,41308,6,99.9
116,Senate,7,41500,1,100.0
116,Senate,7,41501,1,99.9
116,Senate,7,41502,1,99.9
116,Senate,7,41503,1,99.9
116,Senate,7,41504,1,99.8
116,Senate,7,41505,1,99.6
116,Senate,7,41700,6,87.1
116,Senate,7,41701,6,99.7
116,Senate,7,41702,6,98.2
116,Senate,7,41703,1,100.0
116,Senate,7,41705,6,56.8
116,Senate,7,41706,6,99.6
116,Senate,7,41707,1,99.9
116,Senate,7,41900,1,100.0
116,Senate,7,41901,1,97.9
116,Senate,7,41902,1,100.0
116,Senate,7,41903,1,100.0
116,Senate,7,49300,6,99.7
116,Senate,7,49308,6,99.9
116,Senate,7,49703,6,98.3
116,Senate,7,49706,1,100.0
116,Senate,7,94659,1,100.0
116,Senate,8,14226,1,94.0
116,Senate,8,14307,1,97.9
116,Senate,8,14435,1,98.2
116,Senate,8,14852,1,92.9
116,Senate,8,14858,1,98.8
116,Senate,8,14871,1,98.9
116,Senate,8,14921,1,91.9
116,Senate,8,15015,1,98.6
116,Senate,8,15021,1,98.7
116,Senate,8,15408,1,98.5
116,Senate,8,15424,9,86.6
116,Senate,8,20101,1,86.8
116,Senate,8,20146,1,93.9
116,Senate,8,20330,1,98.1
116,Senate,8,20351,1,82.4
116,Senate,8,20707,1,98.4
116,Senate,8,20713,1,96.7
116,Senate,8,20735,1,98.4
116,Senate,8,20919,1,91.9
116,Senate,8,20923,1,98.5
116,Senate,8,20930,1,97.3
116,Senate,8,21112,1,91.0
116,Senate,8,21133,1,89.9
116,Senate,8,21166,1,82.9
116,Senate,8,21173,1,83.9
116,Senate,8,21300,1,96.9
116,Senate,8,21301,6,15.5
116,Senate,8,21325,1,96.1
116,Senate,8,21338,1,89.0
116,Senate,8,21350,1,85.7
116,Senate,8,21501,1,92.8
116,Senate,8,21743,9,93.7
116,Senate,8,29142,1,98.2
116,Senate,8,29147,1,97.9
116,Senate,8,29345,1,82.1
116,Senate,8,29373,1,97.8
116,Senate,8,29386,1,95.1
116,Senate,8,29389,1,97.5
116,Senate,8,29534,1,84.2
116,Senate,8,29548,1,91.4
116,Senate,8,29566,1,93.8
116,Senate,8,29722,1,87.4
116,Senate,8,29732,1,97.2
116,Senate,8,29735,1,85.0
116,Senate,8,29754,1,89.2
116,Senate,8,29909,1,92.1
116,Senate,8,29924,1,94.4
116,Senate,8,29935,6,12.2
116,Senate,8,29940,1,97.4
116,Senate,8,39310,1,98.9
116,Senate,8,40300,1,97.5
116,Senate,8,40304,6,4.6
116,Senate,8,40305,1,89.4
116,Senate,8,40700,1,98.8
116,Senate,8,40702,1,95.9
116,Senate,8,40703,1,95.2
116,Senate,8,40704,1,97.9
116,Senate,8,40707,1,82.6
116,Senate,8,40902,9,67.8
116,Senate,8,40906,1,98.4
116,Senate,8,40908,1,98.8
116,Senate,8,40909,1,97.8
116,Senate,8,40910,1,98.3
116,Senate,8,40915,1,88.2
116,Senate,8,40916,1,98.6
116,Senate,8,41101,1,97.2
116,Senate,8,41102,1,90.2
116,Senate,8,41104,9,78.7
116,Senate,8,41107,6,14.2
116,Senate,8,41110,6,23.5
116,Senate,8,41111,1,89.5
116,Senate,8,41112,1,97.2
116,Senate,8,41300,1,98.7
116,Senate,8,41301,1,94.2
116,Senate,8,41302,1,82.0
116,Senate,8,41304,1,80.0
116,Senate,8,41305,1,98.0
116,Senate,8,41308,6,3.6
116,Senate,8,41500,1,87.9
116,Senate,8,41501,1,88.3
116,Senate,8,41502,1,88.2
116,Senate,8,41503,1,80.6
116,Senate,8,41504,1,90.0
116,Senate,8,41505,1,90.8
116,Senate,8,41700,1,91.7
116,Senate,8,41701,1,93.8
116,Senate,8,41702,1,97.9
116,Senate,8,41703,6,18.8
116,Senate,8,41705,1,95.0
116,Senate,8,41706,1,97.6
116,Senate,8,41707,1,87.5
116,Senate,8,41900,1,62.0
116,Senate,8,41901,1,90.2
116,Senate,8,41902,1,73.9
116,Senate,8,41903,1,86.4
116,Senate,8,49300,1,98.5
116,Senate,8,49308,1,98.6
116,Senate,8,49703,1,98.7
116,Senate,8,49706,6,16.2
116,Senate,8,94659,1,75.9
116,Senate,9,14226,1,94.3
116,Senate,9,14307,6,99.9
116,Senate,9,14435,6,100.0
116,Senate,9,14852,1,95.3
116,Senate,9,14858,6,100.0
116,Senate,9,14871,6,99.9
116,Senate,9,14921,1,96.9
116,Senate,9,15015,6,96.0
116,Senate,9,15021,6,100.0
116,Senate,9,15408,6,99.8
116,Senate,9,15424,1,98.1
116,Senate,9,20101,1,99.3
116,Senate,9,20146,1,94.9
116,Senate,9,20330,6,100.0
116,Senate,9,20351,1,98.8
